actor,season,episode,title,lines,episode_num,word
Marshall,1,1,Pilot,276,1,ring
Marshall,1,1,Pilot,276,1,marry
Ted,1,1,Pilot,276,1,perfect
Ted,1,1,Pilot,276,1,engaged
Ted,1,1,Pilot,276,1,pop
Ted,1,1,Pilot,276,1,champagne
Ted,1,1,Pilot,276,1,drink
Ted,1,1,Pilot,276,1,toast
Ted,1,1,Pilot,276,1,sex
Ted,1,1,Pilot,276,1,kitchen
Ted,1,1,Pilot,276,1,floor
Ted,1,1,Pilot,276,1,sex
Ted,1,1,Pilot,276,1,kitchen
Ted,1,1,Pilot,276,1,floor
Marshall,1,1,Pilot,276,1,helping
Marshall,1,1,Pilot,276,1,plan
Marshall,1,1,Pilot,276,1,ted
Ted,1,1,Pilot,276,1,dude
Ted,1,1,Pilot,276,1,kidding
Ted,1,1,Pilot,276,1,lily
Ted,1,1,Pilot,276,1,moments
Ted,1,1,Pilot,276,1,lily
Ted,1,1,Pilot,276,1,night
Ted,1,1,Pilot,276,1,met
Ted,1,1,Pilot,276,1,date
Marshall,1,1,Pilot,276,1,laughs
Marshall,1,1,Pilot,276,1,asleep
Ted,1,1,Pilot,276,1,physics
Ted,1,1,Pilot,276,1,marshall
Ted,1,1,Pilot,276,1,bottom
Ted,1,1,Pilot,276,1,bunk
Ted,1,1,Pilot,276,1,moves
Ted,1,1,Pilot,276,1,top
Ted,1,1,Pilot,276,1,bunk
Ted,1,1,Pilot,276,1,moves
Ted,1,1,Pilot,276,1,engaged
Ted,1,1,Pilot,276,1,tonight
Marshall,1,1,Pilot,276,1,tonight
Barney,1,1,Pilot,276,1,phone
Barney,1,1,Pilot,276,1,halfasian
Barney,1,1,Pilot,276,1,girls
Barney,1,1,Pilot,276,1,favorite
Barney,1,1,Pilot,276,1,lebanese
Barney,1,1,Pilot,276,1,girls
Barney,1,1,Pilot,276,1,lebanese
Barney,1,1,Pilot,276,1,girls
Barney,1,1,Pilot,276,1,halfasians
Ted,1,1,Pilot,276,1,tonight
Barney,1,1,Pilot,276,1,meet
Barney,1,1,Pilot,276,1,bar
Barney,1,1,Pilot,276,1,fifteen
Barney,1,1,Pilot,276,1,minutes
Barney,1,1,Pilot,276,1,suit
Barney,1,1,Pilot,276,1,suit
Barney,1,1,Pilot,276,1,suit
Barney,1,1,Pilot,276,1,suit
Ted,1,1,Pilot,276,1,time
Barney,1,1,Pilot,276,1,blazer
Ted,1,1,Pilot,276,1,college
Ted,1,1,Pilot,276,1,marshall
Ted,1,1,Pilot,276,1,lily
Ted,1,1,Pilot,276,1,marshall
Ted,1,1,Pilot,276,1,lily
Ted,1,1,Pilot,276,1,married
Ted,1,1,Pilot,276,1,start
Ted,1,1,Pilot,276,1,familybefore
Ted,1,1,Pilot,276,1,weird
Ted,1,1,Pilot,276,1,middleaged
Ted,1,1,Pilot,276,1,bachelor
Ted,1,1,Pilot,276,1,kids
Ted,1,1,Pilot,276,1,call
Ted,1,1,Pilot,276,1,uncle
Ted,1,1,Pilot,276,1,ted
Barney,1,1,Pilot,276,1,forgotten
Barney,1,1,Pilot,276,1,night
Barney,1,1,Pilot,276,1,met
Barney,1,1,Pilot,276,1,ted
Barney,1,1,Pilot,276,1,teach
Barney,1,1,Pilot,276,1,live
Barney,1,1,Pilot,276,1,teds
Barney,1,1,Pilot,276,1,shocked
Barney,1,1,Pilot,276,1,barney
Barney,1,1,Pilot,276,1,met
Barney,1,1,Pilot,276,1,urinal
